"EnsID.y","EnsID","EnsName.x","GeneClassUpdate.x","EnsName.y","GeneClassUpdate.y","pairs","AbsDistLnc_PCG","DistLnc_PCG","str.x","str.y","LncRNA-PCG Relationship"
"ENSG00000063854.12","ENSG00000260778.5","RP11-304L19.13","Bona fide lncRNA","HAGH","Protein coding","ENSG00000260778.5-ENSG00000063854.12",441.314,441.314,"+","-","Intergenic"
"ENSG00000063854.12","ENSG00000260565.6","ERVK13-1","Bona fide lncRNA","HAGH","Protein coding","ENSG00000260565.6-ENSG00000063854.12",838.509,838.509,"-","-","Intergenic"
"ENSG00000063978.15","ENSG00000249673.6","NOP14-AS1","Bona fide lncRNA","RNF4","Protein coding","ENSG00000249673.6-ENSG00000063978.15",465.792,465.792,"+","+","Intergenic"
"ENSG00000064102.14","ENSG00000246695.7","RASSF8-AS1","Bona fide lncRNA","INTS13","Protein coding","ENSG00000246695.7-ENSG00000064102.14",946.719,-946.719,"-","-","Intergenic"
"ENSG00000064205.10","ENSG00000223891.5","OSER1-AS1","Bona fide lncRNA","WISP2","Protein coding","ENSG00000223891.5-ENSG00000064205.10",503.993,-503.993,"+","+","Intergenic"
"ENSG00000064205.10","ENSG00000244558.5","KCNK15-AS1","Bona fide lncRNA","WISP2","Protein coding","ENSG00000244558.5-ENSG00000064205.10",19.161,-19.161,"-","+","Antisense Overlap"
"ENSG00000064225.12","ENSG00000240476.1","LINC00973","Bona fide lncRNA","ST3GAL6","Protein coding","ENSG00000240476.1-ENSG00000064225.12",179.753,179.753,"+","+","Intergenic"
"ENSG00000064309.14","ENSG00000280832.1","ST3GAL4-AS1","Bona fide lncRNA","CDON","Protein coding","ENSG00000280832.1-ENSG00000064309.14",292.244,292.244,"-","-","Intergenic"
"ENSG00000064393.15","MSTRG.29919",NA,"Bona fide lncRNA","HIPK2","Protein coding","MSTRG.29919-ENSG00000064393.15",741.505,-741.505,"+","-","Intergenic"
"ENSG00000064489.22","MSTRG.16351",NA,"Bona fide lncRNA","BORCS8-MEF2B","TF","MSTRG.16351-ENSG00000064489.22",983.797,-983.797,"+","-","Intergenic"
"ENSG00000064490.13","MSTRG.16351",NA,"Bona fide lncRNA","RFXANK","Protein coding","MSTRG.16351-ENSG00000064490.13",984.438,-984.438,"+","+","Intergenic"
"ENSG00000064545.14","MSTRG.16351",NA,"Bona fide lncRNA","TMEM161A","Protein coding","MSTRG.16351-ENSG00000064545.14",930.122,-930.122,"+","-","Intergenic"
"ENSG00000064607.16","MSTRG.16351",NA,"Bona fide lncRNA","SUGP2","Protein coding","MSTRG.16351-ENSG00000064607.16",825.109,-825.109,"+","-","Intergenic"
"ENSG00000064651.13","ENSG00000245937.7","LINC01184","Bona fide lncRNA","SLC12A2","Protein coding","ENSG00000245937.7-ENSG00000064651.13",0.594,-0.594,"-","+","Bidirectional"
"ENSG00000064666.14","ENSG00000266990.1","LLNLR-284B4.2","Bona fide lncRNA","CNN2","Protein coding","ENSG00000266990.1-ENSG00000064666.14",23.824,-23.824,"-","+","Intergenic"
"ENSG00000064687.12","ENSG00000266990.1","LLNLR-284B4.2","Bona fide lncRNA","ABCA7","Protein coding","ENSG00000266990.1-ENSG00000064687.12",37.344,-37.344,"-","+","Intergenic"
"ENSG00000064726.9","ENSG00000250988.7","SNHG21","Bona fide lncRNA","BTBD1","Protein coding","ENSG00000250988.7-ENSG00000064726.9",316.77,-316.77,"+","-","Intergenic"
"ENSG00000064932.15","ENSG00000266990.1","LLNLR-284B4.2","Bona fide lncRNA","SBNO2","Protein coding","ENSG00000266990.1-ENSG00000064932.15",129.464,-129.464,"-","-","Intergenic"
"ENSG00000064933.17","ENSG00000233654.1","AC093388.3","Bona fide lncRNA","PMS1","Protein coding","ENSG00000233654.1-ENSG00000064933.17",743.155,743.155,"+","+","Intergenic"
"ENSG00000064989.12","MSTRG.19237",NA,"Bona fide lncRNA","CALCRL","Protein coding","MSTRG.19237-ENSG00000064989.12",961.988,-961.988,"-","-","Intergenic"
"ENSG00000064995.16","ENSG00000272288.5","RP11-140K17.3","Bona fide lncRNA","TAF11","Protein coding","ENSG00000272288.5-ENSG00000064995.16",191.144,-191.144,"+","-","Intergenic"
"ENSG00000064999.13","ENSG00000272288.5","RP11-140K17.3","Bona fide lncRNA","ANKS1A","Protein coding","ENSG00000272288.5-ENSG00000064999.13",192.32,-192.32,"+","+","Intergenic"
"ENSG00000065029.14","ENSG00000272288.5","RP11-140K17.3","Bona fide lncRNA","ZNF76","TF","ENSG00000272288.5-ENSG00000065029.14",561.794,-561.794,"+","+","Intergenic"
"ENSG00000065054.13","ENSG00000260260.1","SNHG19","Bona fide lncRNA","SLC9A3R2","Protein coding","ENSG00000260260.1-ENSG00000065054.13",122.087,122.087,"-","+","Intergenic"
"ENSG00000065054.13","ENSG00000260565.6","ERVK13-1","Bona fide lncRNA","SLC9A3R2","Protein coding","ENSG00000260565.6-ENSG00000065054.13",632.079,632.079,"-","+","Intergenic"
"ENSG00000065054.13","ENSG00000260778.5","RP11-304L19.13","Bona fide lncRNA","SLC9A3R2","Protein coding","ENSG00000260778.5-ENSG00000065054.13",234.884,234.884,"+","+","Intergenic"
"ENSG00000065057.7","ENSG00000260565.6","ERVK13-1","Bona fide lncRNA","NTHL1","Protein coding","ENSG00000260565.6-ENSG00000065057.7",617.484,617.484,"-","-","Intergenic"
"ENSG00000065057.7","ENSG00000260260.1","SNHG19","Bona fide lncRNA","NTHL1","Protein coding","ENSG00000260260.1-ENSG00000065057.7",107.492,107.492,"-","-","Intergenic"
"ENSG00000065057.7","ENSG00000260778.5","RP11-304L19.13","Bona fide lncRNA","NTHL1","Protein coding","ENSG00000260778.5-ENSG00000065057.7",220.289,220.289,"+","-","Intergenic"
"ENSG00000065060.16","ENSG00000272288.5","RP11-140K17.3","Bona fide lncRNA","UHRF1BP1","Protein coding","ENSG00000272288.5-ENSG00000065060.16",95.135,-95.135,"+","+","Intergenic"
"ENSG00000065268.10","ENSG00000266990.1","LLNLR-284B4.2","Bona fide lncRNA","WDR18","Protein coding","ENSG00000266990.1-ENSG00000065268.10",8.743,8.743,"-","+","Intergenic"
"ENSG00000065308.4","ENSG00000225791.6","TRAM2-AS1","Bona fide lncRNA","TRAM2","Protein coding","ENSG00000225791.6-ENSG00000065308.4",0.392,0.392,"+","-","Bidirectional"
"ENSG00000065308.4","ENSG00000216775.2","RP1-152L7.5","Bona fide lncRNA","TRAM2","Protein coding","ENSG00000216775.2-ENSG00000065308.4",87.364,87.364,"+","-","Intergenic"
"ENSG00000065357.19","ENSG00000258056.2","RP11-644F5.11","Bona fide lncRNA","DGKA","Protein coding","ENSG00000258056.2-ENSG00000065357.19",202.924,-202.924,"+","+","Intergenic"
"ENSG00000065518.7","ENSG00000242622.1","RP11-18H7.1","Bona fide lncRNA","NDUFB4","Protein coding","ENSG00000242622.1-ENSG00000065518.7",501.039,-501.039,"+","+","Intergenic"
"ENSG00000065526.10","ENSG00000228549.3","RP11-108M9.3","Bona fide lncRNA","SPEN","TF","ENSG00000228549.3-ENSG00000065526.10",933.701,933.701,"+","+","Intergenic"
"ENSG00000065526.10","ENSG00000233421.4","LINC01783","Bona fide lncRNA","SPEN","TF","ENSG00000233421.4-ENSG00000065526.10",597.066,597.066,"-","+","Intergenic"
"ENSG00000065526.10","ENSG00000238142.1","RP11-108M9.4","Bona fide lncRNA","SPEN","TF","ENSG00000238142.1-ENSG00000065526.10",950.79,950.79,"-","+","Intergenic"
"ENSG00000065526.10","ENSG00000179743.4","FLJ37453","Bona fide lncRNA","SPEN","TF","ENSG00000179743.4-ENSG00000065526.10",0.061,0.061,"-","+","Bidirectional"
"ENSG00000065526.10","MSTRG.397",NA,"Bona fide lncRNA","SPEN","TF","MSTRG.397-ENSG00000065526.10",801.933,801.933,"+","+","Intergenic"
"ENSG00000065548.17","MSTRG.19237",NA,"Bona fide lncRNA","ZC3H15","Protein coding","MSTRG.19237-ENSG00000065548.17",0.002,0.002,"-","+","Bidirectional"
"ENSG00000065600.12","ENSG00000198468.7","FLVCR1-AS1","Bona fide lncRNA","TMEM206","Protein coding","ENSG00000198468.7-ENSG00000065600.12",443.193,443.193,"-","-","Intergenic"
"ENSG00000065600.12","MSTRG.2891",NA,"Bona fide lncRNA","TMEM206","Protein coding","MSTRG.2891-ENSG00000065600.12",223.656,223.656,"-","-","Intergenic"
"ENSG00000065613.13","ENSG00000231233.1","CFAP58-AS1","Bona fide lncRNA","SLK","Protein coding","ENSG00000231233.1-ENSG00000065613.13",385.953,385.953,"-","+","Intergenic"
"ENSG00000065621.14","ENSG00000231233.1","CFAP58-AS1","Bona fide lncRNA","GSTO2","Protein coding","ENSG00000231233.1-ENSG00000065621.14",67.637,67.637,"-","+","Intergenic"
"ENSG00000065911.11","ENSG00000237883.1","DGUOK-AS1","Bona fide lncRNA","MTHFD2","Protein coding","ENSG00000237883.1-ENSG00000065911.11",217.129,-217.129,"-","+","Intergenic"
"ENSG00000065911.11","ENSG00000225439.2","BOLA3-AS1","Bona fide lncRNA","MTHFD2","Protein coding","ENSG00000225439.2-ENSG00000065911.11",50.523,-50.523,"+","+","Intergenic"
"ENSG00000065923.9","ENSG00000231566.1","RP5-1158E12.3","Bona fide lncRNA","SLC9A7","Protein coding","ENSG00000231566.1-ENSG00000065923.9",907.459,-907.459,"-","-","Intergenic"
"ENSG00000065923.9","ENSG00000203402.2","RP11-571E6.3","Bona fide lncRNA","SLC9A7","Protein coding","ENSG00000203402.2-ENSG00000065923.9",538.68,538.68,"+","-","Intergenic"
"ENSG00000065923.9","ENSG00000270069.1","MIR222HG","Bona fide lncRNA","SLC9A7","Protein coding","ENSG00000270069.1-ENSG00000065923.9",988.675,-988.675,"-","-","Intergenic"
"ENSG00000065970.8","ENSG00000205885.7","C1RL-AS1","Bona fide lncRNA","FOXJ2","TF","ENSG00000205885.7-ENSG00000065970.8",912.145,-912.145,"+","+","Intergenic"
"ENSG00000065970.8","ENSG00000249790.2","RP11-20D14.6","Bona fide lncRNA","FOXJ2","TF","ENSG00000249790.2-ENSG00000065970.8",743.446,743.446,"+","+","Intergenic"
"ENSG00000065989.15","ENSG00000267106.5","ZNF561-AS1","Bona fide lncRNA","PDE4A","Protein coding","ENSG00000267106.5-ENSG00000065989.15",799.102,-799.102,"+","+","Intergenic"
"ENSG00000065989.15","MSTRG.16057",NA,"Bona fide lncRNA","PDE4A","Protein coding","MSTRG.16057-ENSG00000065989.15",53.667,53.667,"-","+","Intergenic"
"ENSG00000066027.11","MSTRG.2891",NA,"Bona fide lncRNA","PPP2R5A","Protein coding","MSTRG.2891-ENSG00000066027.11",353.014,353.014,"-","+","Intergenic"
"ENSG00000066027.11","ENSG00000198468.7","FLVCR1-AS1","Bona fide lncRNA","PPP2R5A","Protein coding","ENSG00000198468.7-ENSG00000066027.11",572.551,572.551,"-","+","Intergenic"
"ENSG00000066044.14","ENSG00000269386.5","RAB11B-AS1","Bona fide lncRNA","ELAVL1","Protein coding","ENSG00000269386.5-ENSG00000066044.14",372.168,372.168,"-","-","Intergenic"
"ENSG00000066135.12","ENSG00000236200.5","KDM4A-AS1","Bona fide lncRNA","KDM4A","Protein coding","ENSG00000236200.5-ENSG00000066135.12",51.163,51.163,"-","+","Antisense Overlap"
"ENSG00000066322.14","ENSG00000236200.5","KDM4A-AS1","Bona fide lncRNA","ELOVL1","Protein coding","ENSG00000236200.5-ENSG00000066322.14",336.451,336.451,"-","-","Intergenic"
"ENSG00000066379.14","ENSG00000231074.8","HCG18","Bona fide lncRNA","ZNRD1","Protein coding","ENSG00000231074.8-ENSG00000066379.14",228.113,228.113,"-","+","Intergenic"
"ENSG00000066629.16","ENSG00000225746.9","SNHG23","Bona fide lncRNA","EML1","Protein coding","ENSG00000225746.9-ENSG00000066629.16",958.603,958.603,"+","+","Intergenic"
"ENSG00000066629.16","ENSG00000214548.14","MEG3","Bona fide lncRNA","EML1","Protein coding","ENSG00000214548.14-ENSG00000066629.16",889.941,889.941,"+","+","Intergenic"
"ENSG00000066739.11","ENSG00000187621.14","TCL6","Bona fide lncRNA","ATG2B","Protein coding","ENSG00000187621.14-ENSG00000066739.11",640.076,-640.076,"+","-","Intergenic"
"ENSG00000066739.11","ENSG00000247092.6","SNHG10","Bona fide lncRNA","ATG2B","Protein coding","ENSG00000247092.6-ENSG00000066739.11",755.705,-755.705,"-","-","Intergenic"
"ENSG00000066777.8","ENSG00000245910.8","SNHG6","Bona fide lncRNA","ARFGEF1","Protein coding","ENSG00000245910.8-ENSG00000066777.8",418.081,-418.081,"-","-","Intergenic"
"ENSG00000066923.17","ENSG00000227053.1","RP11-395B7.4","Bona fide lncRNA","STAG3","Protein coding","ENSG00000227053.1-ENSG00000066923.17",805.942,805.942,"-","+","Intergenic"
"ENSG00000067082.14","ENSG00000233117.2","LINC00702","Bona fide lncRNA","KLF6","TF","ENSG00000233117.2-ENSG00000067082.14",458.368,458.368,"-","-","Intergenic"
"ENSG00000067082.14","ENSG00000231298.6","LINC00704","Bona fide lncRNA","KLF6","TF","ENSG00000231298.6-ENSG00000067082.14",892.879,892.879,"-","-","Intergenic"
"ENSG00000067113.16","MSTRG.25507",NA,"Bona fide lncRNA","PLPP1","Protein coding","MSTRG.25507-ENSG00000067113.16",588.875,588.875,"+","-","Intergenic"
"ENSG00000067141.16","ENSG00000261801.5","LOXL1-AS1","Bona fide lncRNA","NEO1","Protein coding","ENSG00000261801.5-ENSG00000067141.16",704.638,704.638,"-","+","Intergenic"
"ENSG00000067182.7","ENSG00000205885.7","C1RL-AS1","Bona fide lncRNA","TNFRSF1A","Protein coding","ENSG00000205885.7-ENSG00000067182.7",766.194,766.194,"+","-","Intergenic"
"ENSG00000067182.7","ENSG00000215039.6","CD27-AS1","Bona fide lncRNA","TNFRSF1A","Protein coding","ENSG00000215039.6-ENSG00000067182.7",106.671,106.671,"-","-","Intergenic"
"ENSG00000067191.15","ENSG00000276170.4","AC124789.1","Bona fide lncRNA","CACNB1","Protein coding","ENSG00000276170.4-ENSG00000067191.15",725.871,-725.871,"-","-","Intergenic"
"ENSG00000067208.14","ENSG00000223745.7","CCDC18-AS1","Bona fide lncRNA","EVI5","Protein coding","ENSG00000223745.7-ENSG00000067208.14",541.005,541.005,"-","-","Intergenic"
"ENSG00000067221.13","ENSG00000247240.7","UBL7-AS1","Bona fide lncRNA","STOML1","Protein coding","ENSG00000247240.7-ENSG00000067221.13",466.602,466.602,"+","-","Intergenic"
"ENSG00000067221.13","ENSG00000261801.5","LOXL1-AS1","Bona fide lncRNA","STOML1","Protein coding","ENSG00000261801.5-ENSG00000067221.13",63.975,-63.975,"-","-","Intergenic"
"ENSG00000067248.9","MSTRG.25507",NA,"Bona fide lncRNA","DHX29","Protein coding","MSTRG.25507-ENSG00000067248.9",816.203,816.203,"+","-","Intergenic"
"ENSG00000067334.13","ENSG00000223745.7","CCDC18-AS1","Bona fide lncRNA","DNTTIP2","Protein coding","ENSG00000223745.7-ENSG00000067334.13",527.521,-527.521,"-","-","Intergenic"
"ENSG00000067334.13","ENSG00000226835.2","RP11-148B18.1","Bona fide lncRNA","DNTTIP2","Protein coding","ENSG00000226835.2-ENSG00000067334.13",368.66,368.66,"+","-","Intergenic"
"ENSG00000067533.5","MSTRG.2921",NA,"Bona fide lncRNA","RRP15","Protein coding","MSTRG.2921-ENSG00000067533.5",806.983,806.983,"-","+","Intergenic"
"ENSG00000067596.10","MSTRG.14107",NA,"Bona fide lncRNA","DHX8","Protein coding","MSTRG.14107-ENSG00000067596.10",232.609,-232.609,"+","+","Intergenic"
"ENSG00000067596.10","ENSG00000267080.5","ASB16-AS1","Bona fide lncRNA","DHX8","Protein coding","ENSG00000267080.5-ENSG00000067596.10",655.161,655.161,"-","+","Intergenic"
"ENSG00000067596.10","MSTRG.14105",NA,"Bona fide lncRNA","DHX8","Protein coding","MSTRG.14105-ENSG00000067596.10",231.944,-231.944,"-","+","Intergenic"
"ENSG00000067596.10","ENSG00000197291.8","RAMP2-AS1","Bona fide lncRNA","DHX8","Protein coding","ENSG00000197291.8-ENSG00000067596.10",722.706,-722.706,"-","+","Intergenic"
"ENSG00000067596.10","MSTRG.14117",NA,"Bona fide lncRNA","DHX8","Protein coding","MSTRG.14117-ENSG00000067596.10",168.251,-168.251,"+","+","Intergenic"
"ENSG00000067606.16","MSTRG.124",NA,"Bona fide lncRNA","PRKCZ","Protein coding","MSTRG.124-ENSG00000067606.16",376.031,-376.031,"+","+","Intergenic"
"ENSG00000067606.16","ENSG00000224870.6","RP4-758J18.2","Bona fide lncRNA","PRKCZ","Protein coding","ENSG00000224870.6-ENSG00000067606.16",673.656,-673.656,"+","+","Intergenic"
"ENSG00000067646.11","ENSG00000223773.7_PAR_Y","CD99P1","Bona fide lncRNA","ZFY","TF","ENSG00000223773.7_PAR_Y-ENSG00000067646.11",325.887,-325.887,"+","+","Intergenic"
"ENSG00000067704.9","ENSG00000257551.1","HLX-AS1","Bona fide lncRNA","IARS2","Protein coding","ENSG00000257551.1-ENSG00000067704.9",786.038,786.038,"-","+","Intergenic"
"ENSG00000067704.9","ENSG00000228536.2","RP11-392O17.1","Bona fide lncRNA","IARS2","Protein coding","ENSG00000228536.2-ENSG00000067704.9",634.733,-634.733,"-","+","Intergenic"
"ENSG00000067829.18","ENSG00000197180.2","CH17-340M24.3","Bona fide lncRNA","IDH3G","Protein coding","ENSG00000197180.2-ENSG00000067829.18",633.956,633.956,"-","-","Intergenic"
"ENSG00000067829.18","MSTRG.33807",NA,"Bona fide lncRNA","IDH3G","Protein coding","MSTRG.33807-ENSG00000067829.18",28.041,-28.041,"-","-","Intergenic"
"ENSG00000067836.12","ENSG00000262185.1","RP11-462G12.1","Bona fide lncRNA","ROGDI","Protein coding","ENSG00000262185.1-ENSG00000067836.12",852.007,-852.007,"-","-","Intergenic"
"ENSG00000067955.13","ENSG00000270049.2","RP11-297D21.4","Bona fide lncRNA","CBFB","Protein coding","ENSG00000270049.2-ENSG00000067955.13",452.139,452.139,"+","+","Intergenic"
"ENSG00000067955.13","ENSG00000276075.1","CTD-2012K14.8","Bona fide lncRNA","CBFB","Protein coding","ENSG00000276075.1-ENSG00000067955.13",499.387,499.387,"-","+","Intergenic"
"ENSG00000068079.7","ENSG00000197291.8","RAMP2-AS1","Bona fide lncRNA","IFI35","Protein coding","ENSG00000197291.8-ENSG00000068079.7",245.468,-245.468,"-","+","Intergenic"
"ENSG00000068079.7","MSTRG.14105",NA,"Bona fide lncRNA","IFI35","Protein coding","MSTRG.14105-ENSG00000068079.7",245.279,245.279,"-","+","Intergenic"
"ENSG00000068079.7","MSTRG.14107",NA,"Bona fide lncRNA","IFI35","Protein coding","MSTRG.14107-ENSG00000068079.7",244.6,244.6,"+","+","Intergenic"
"ENSG00000068079.7","MSTRG.14117",NA,"Bona fide lncRNA","IFI35","Protein coding","MSTRG.14117-ENSG00000068079.7",308.972,308.972,"+","+","Intergenic"
"ENSG00000068097.14","ENSG00000267248.1","CTD-2319I12.4","Bona fide lncRNA","HEATR6","Protein coding","ENSG00000267248.1-ENSG00000068097.14",48.569,48.569,"-","-","Intergenic"
"ENSG00000068120.14","MSTRG.14105",NA,"Bona fide lncRNA","COASY","Protein coding","MSTRG.14105-ENSG00000068120.14",686.557,686.557,"-","+","Intergenic"
"ENSG00000068120.14","MSTRG.14107",NA,"Bona fide lncRNA","COASY","Protein coding","MSTRG.14107-ENSG00000068120.14",685.878,685.878,"+","+","Intergenic"
"ENSG00000068120.14","ENSG00000197291.8","RAMP2-AS1","Bona fide lncRNA","COASY","Protein coding","ENSG00000197291.8-ENSG00000068120.14",195.655,195.655,"-","+","Intergenic"
"ENSG00000068120.14","MSTRG.14117",NA,"Bona fide lncRNA","COASY","Protein coding","MSTRG.14117-ENSG00000068120.14",750.25,750.25,"+","+","Intergenic"
"ENSG00000068137.14","MSTRG.14107",NA,"Bona fide lncRNA","PLEKHH3","Protein coding","MSTRG.14107-ENSG00000068137.14",574.346,574.346,"+","-","Intergenic"
"ENSG00000068137.14","ENSG00000197291.8","RAMP2-AS1","Bona fide lncRNA","PLEKHH3","Protein coding","ENSG00000197291.8-ENSG00000068137.14",84.123,84.123,"-","-","Intergenic"
"ENSG00000068137.14","MSTRG.14117",NA,"Bona fide lncRNA","PLEKHH3","Protein coding","MSTRG.14117-ENSG00000068137.14",638.718,638.718,"+","-","Intergenic"
"ENSG00000068137.14","MSTRG.14105",NA,"Bona fide lncRNA","PLEKHH3","Protein coding","MSTRG.14105-ENSG00000068137.14",575.025,575.025,"-","-","Intergenic"
"ENSG00000068305.17","ENSG00000259363.5","CTD-2054N24.2","Bona fide lncRNA","MEF2A","TF","ENSG00000259363.5-ENSG00000068305.17",240.54,240.54,"+","+","Intergenic"
"ENSG00000068489.12","ENSG00000267248.1","CTD-2319I12.4","Bona fide lncRNA","PRR11","CC","ENSG00000267248.1-ENSG00000068489.12",972.907,972.907,"-","+","Intergenic"
"ENSG00000068650.18","ENSG00000272695.1","GAS6-AS2","Bona fide lncRNA","ATP11A","Protein coding","ENSG00000272695.1-ENSG00000068650.18",990.665,990.665,"+","+","Intergenic"
"ENSG00000068724.15","ENSG00000239332.5","LINC01119","Bona fide lncRNA","TTC7A","Protein coding","ENSG00000239332.5-ENSG00000068724.15",95.298,-95.298,"+","+","Intergenic"
"ENSG00000068971.13","ENSG00000256940.1","RP11-783K16.5","Bona fide lncRNA","PPP2R5B","Protein coding","ENSG00000256940.1-ENSG00000068971.13",677.617,-677.617,"+","+","Intergenic"
"ENSG00000068971.13","MSTRG.5511",NA,"Bona fide lncRNA","PPP2R5B","Protein coding","MSTRG.5511-ENSG00000068971.13",738.354,738.354,"+","+","Intergenic"
"ENSG00000068971.13","MSTRG.5488",NA,"Bona fide lncRNA","PPP2R5B","Protein coding","MSTRG.5488-ENSG00000068971.13",389.957,389.957,"-","+","Intergenic"
"ENSG00000068971.13","ENSG00000251562.7","MALAT1","Bona fide lncRNA","PPP2R5B","Protein coding","ENSG00000251562.7-ENSG00000068971.13",574.307,574.307,"+","+","Intergenic"
"ENSG00000068971.13","MSTRG.5432",NA,"Bona fide lncRNA","PPP2R5B","Protein coding","MSTRG.5432-ENSG00000068971.13",738.896,-738.896,"-","+","Intergenic"
"ENSG00000068971.13","ENSG00000254614.2","AP003068.23","Bona fide lncRNA","PPP2R5B","Protein coding","ENSG00000254614.2-ENSG00000068971.13",257.099,257.099,"-","+","Intergenic"
"ENSG00000069248.11","ENSG00000177788.5","RP5-1061H20.4","Bona fide lncRNA","NUP133","CC","ENSG00000177788.5-ENSG00000069248.11",237.298,-237.298,"-","-","Intergenic"
"ENSG00000069399.14","ENSG00000267757.4","EML2-AS1","Bona fide lncRNA","BCL3","Protein coding","ENSG00000267757.4-ENSG00000069399.14",882.966,882.966,"+","+","Intergenic"
"ENSG00000069482.6","MSTRG.5643",NA,"Bona fide lncRNA","GAL","Protein coding","MSTRG.5643-ENSG00000069482.6",614.259,614.259,"+","+","Intergenic"
"ENSG00000069493.14","ENSG00000249790.2","RP11-20D14.6","Bona fide lncRNA","CLEC2D","Protein coding","ENSG00000249790.2-ENSG00000069493.14",881.439,-881.439,"+","+","Intergenic"
"ENSG00000069493.14","ENSG00000231560.1","AC091814.3","Bona fide lncRNA","CLEC2D","Protein coding","ENSG00000231560.1-ENSG00000069493.14",283.608,283.608,"-","+","Intergenic"
"ENSG00000070047.11","ENSG00000270105.1","RP11-326C3.14","Bona fide lncRNA","PHRF1","Protein coding","ENSG00000270105.1-ENSG00000070047.11",253.759,-253.759,"-","+","Intergenic"
"ENSG00000070047.11","ENSG00000255284.1","AP006621.5","Bona fide lncRNA","PHRF1","Protein coding","ENSG00000255284.1-ENSG00000070047.11",175.925,175.925,"+","+","Intergenic"
"ENSG00000070047.11","MSTRG.4670",NA,"Bona fide lncRNA","PHRF1","Protein coding","MSTRG.4670-ENSG00000070047.11",279.21,279.21,"+","+","Intergenic"
"ENSG00000070087.13","ENSG00000240137.5","ERICH6-AS1","Bona fide lncRNA","PFN2","Protein coding","ENSG00000240137.5-ENSG00000070087.13",732.242,732.242,"+","-","Intergenic"
"ENSG00000070366.13","ENSG00000186594.14","MIR22HG","Bona fide lncRNA","SMG6","Protein coding","ENSG00000186594.14-ENSG00000070366.13",365.136,-365.136,"-","-","Intergenic"
"ENSG00000070366.13","ENSG00000236618.2","PITPNA-AS1","Bona fide lncRNA","SMG6","Protein coding","ENSG00000236618.2-ENSG00000070366.13",565.379,-565.379,"+","-","Intergenic"
"ENSG00000070404.9","ENSG00000266990.1","LLNLR-284B4.2","Bona fide lncRNA","FSTL3","Protein coding","ENSG00000266990.1-ENSG00000070404.9",322.723,322.723,"-","+","Intergenic"
"ENSG00000070423.17","ENSG00000266990.1","LLNLR-284B4.2","Bona fide lncRNA","RNF126","Protein coding","ENSG00000266990.1-ENSG00000070423.17",339.48,339.48,"-","-","Intergenic"
"ENSG00000070444.14","ENSG00000236618.2","PITPNA-AS1","Bona fide lncRNA","MNT","TF","ENSG00000236618.2-ENSG00000070444.14",871.367,-871.367,"+","-","Intergenic"
"ENSG00000070444.14","ENSG00000186594.14","MIR22HG","Bona fide lncRNA","MNT","TF","ENSG00000186594.14-ENSG00000070444.14",671.124,-671.124,"-","-","Intergenic"
"ENSG00000070495.14","ENSG00000163597.14","SNHG16","Bona fide lncRNA","JMJD6","Protein coding","ENSG00000163597.14-ENSG00000070495.14",168.127,-168.127,"+","-","Intergenic"
"ENSG00000070731.10","ENSG00000163597.14","SNHG16","Bona fide lncRNA","ST6GALNAC2","Protein coding","ENSG00000163597.14-ENSG00000070731.10",27.393,-27.393,"+","-","Intergenic"
"ENSG00000070778.12","ENSG00000258920.1","FOXN3-AS1","Bona fide lncRNA","PTPN21","Protein coding","ENSG00000258920.1-ENSG00000070778.12",862.621,862.621,"+","-","Intergenic"
"ENSG00000070814.17","ENSG00000249669.9","CARMN","Bona fide lncRNA","TCOF1","Protein coding","ENSG00000249669.9-ENSG00000070814.17",950.394,-950.394,"+","+","Intergenic"
"ENSG00000070950.9","ENSG00000230082.1","PRRT3-AS1","Bona fide lncRNA","RAD18","CC","ENSG00000230082.1-ENSG00000070950.9",983.788,983.788,"+","-","Intergenic"
"ENSG00000070961.15","ENSG00000271614.1","ATP2B1-AS1","Bona fide lncRNA","ATP2B1","Protein coding","ENSG00000271614.1-ENSG00000070961.15",0.128,0.128,"+","-","Bidirectional"
"ENSG00000070961.15","ENSG00000258183.5","RP11-753N8.1","Bona fide lncRNA","ATP2B1","Protein coding","ENSG00000258183.5-ENSG00000070961.15",571.594,571.594,"+","-","Intergenic"
"ENSG00000071189.21","ENSG00000237773.5","AC003075.4","Bona fide lncRNA","SNX13","Protein coding","ENSG00000237773.5-ENSG00000071189.21",641.074,-641.074,"-","-","Intergenic"
"ENSG00000071539.13","ENSG00000225138.7","CTD-2228K2.7","Bona fide lncRNA","TRIP13","CC","ENSG00000225138.7-ENSG00000071539.13",414.52,-414.52,"+","+","Intergenic"
"ENSG00000071553.16","MSTRG.33807",NA,"Bona fide lncRNA","ATP6AP1","Protein coding","MSTRG.33807-ENSG00000071553.16",662.15,-662.15,"-","+","Intergenic"
"ENSG00000071553.16","ENSG00000197180.2","CH17-340M24.3","Bona fide lncRNA","ATP6AP1","Protein coding","ENSG00000197180.2-ENSG00000071553.16",0.153,-0.153,"-","+","Bidirectional"
"ENSG00000071564.14","ENSG00000266990.1","LLNLR-284B4.2","Bona fide lncRNA","TCF3","TF","ENSG00000266990.1-ENSG00000071564.14",613.041,-613.041,"-","-","Intergenic"
